遊ぶ,あそぶ,asobu,to play
歩く,あるく,aruku,to walk
歌う,うたう,utau,to sing
生まれる,うまれる,umareru,to be born
泳ぐ,およぐ,oyogu,to swim
帰る,かえる,kaeru,to return home
死ぬ,しぬ,shinu,"to die, to pass away"
出かける,でかける,dekakeru,to go out
始まる,はじまる,hajimaru,"to begin, to start"
走る,はしる,hashiru,to run
働く,はたらく,hataraku,to work
休む,やすむ,yasumu,to rest
渡る,わたる,wataru,to cross
